id;piso-link-href;name;zona;zona_completa;precio_def;metros_cuadrados_totales;habitaciones/planta;habitaciones;caracteristicas;ubicacion;Tipo;direccion;tipo_casa;metros_cuadrados_utiles;numero_baños;numero_habitaciones;estado;tipo_urbanizacion;planta;interior;orientacion;año_contruccion;ascensor;piscina;trastero;garaje;terraza;balcon;jardin;armarios;padel;aire_acondicionado;calefaccion;latitud;longitud;postal_code;geohash_6;municipio
1;https://www.idealista.com/inmueble/104914387/;Piso en venta en Trafalgar;Chamberi;Chamberí, Madrid;650000;78;2 hab.;2;"Publicidad









Características básicas


78 m_ construidos
2 habitaciones
1 baño
Segunda mano/buen estado


Edificio


Planta 2ª exterior
Con ascensor




Certificado energético



No indicado";"Ubicación


Barrio Trafalgar


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Calle Trafalgar, Chamberí, Madrid;Piso;78;1;2;Segunda mano/buen estado;Edificio;2;Exterior;No especificado;No especificado;Sí;No;No;No;No;No;No;No especificado;No;No especificado;No especificado;40,43276288;-3,701040333;28010;ezjq5b;Madrid
2;https://www.idealista.com/inmueble/104354807/;Piso en venta en calle de Málaga, 9;Chamberi;Nuevos Ministerios-Ríos Rosas, Madrid;525000;70;1 hab.;1;"Publicidad









Características básicas


70 m_ construidos, 62 m_ útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Orientación sur


Edificio


Planta 4ª exterior
Con ascensor




Certificado energético



En trámite";"Ubicación


Calle de Málaga, 9


Barrio Nuevos Ministerios-Ríos Rosas


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Calle de Málaga, 9, Madrid;Piso;62;1;1;Segunda mano/buen estado;Edificio;4;Exterior;Sur;No especificado;Sí;No;No;No;No;Sí;No;No especificado;No;No especificado;No especificado;40,4388709;-3,6934291;28003;ezjq5c;Madrid
3;https://www.idealista.com/inmueble/104589853/;Piso en venta en calle de Raimundo Fernández Villaverde, 1;Chamberi;Nuevos Ministerios-Ríos Rosas, Madrid;795000;127;5 hab.;5;"Publicidad









Características básicas


127 m_ construidos, 113 m_ útiles
5 habitaciones
2 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados


Edificio


Planta 4ª exterior
Con ascensor




Certificado energético



No indicado";"Ubicación


Calle de Raimundo Fernández Villaverde, 1


Barrio Nuevos Ministerios-Ríos Rosas


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Calle de Raimundo Fernández Villaverde, 1, Madrid;Piso;113;2;5;Segunda mano/buen estado;Edificio;4;Exterior;No especificado;No especificado;Sí;No;No;No;Sí;Sí;No;Sí;No;No especificado;No especificado;40,44707075;-3,703195999;28003;ezjq5e;Madrid
4;https://www.idealista.com/inmueble/105085190/;Piso en venta en Almagro;Chamberi;Chamberí, Madrid;3650000;304;4 hab.;4;"Características básicas


304 m_ construidos, 290 m_ útiles
4 habitaciones
5 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1940
Calefacción central: Gas


Edificio


Planta 5ª exterior
Con ascensor




Equipamiento



Aire acondicionado



Certificado energético



En trámite";"Ubicación


Barrio Almagro


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Almagro, Chamberí, Madrid;Piso;290;5;4;Segunda mano/buen estado;Edificio;5;Exterior;Sur;1940;Sí;No;No especificado;No especificado;No especificado;Sí;No;Sí;No;Sí;Gas;40,4336632;-3,6942857;28010;ezjq5b;Madrid
5;https://www.idealista.com/inmueble/103013667/;Ático en venta en Almagro;Chamberi;Chamberí, Madrid;5100000;310;4 hab.;4;"Características básicas


310 m_ construidos, 270 m_ útiles
4 habitaciones
5 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación este
Construido en 1966
Calefacción individual


Edificio


Planta 6ª exterior
Con ascensor




Equipamiento



Aire acondicionado


Piscina



Certificado energético



Consumo: 



Emisiones: 



Ver etiqueta de calificación energética
Ocultar etiqueta";"Ubicación


Barrio Almagro


Distrito Chamberí


Madrid


Madrid capital, Madrid";Ático;Calle Almagro, Madrid;Ático;270;5;4;Segunda mano/buen estado;Edificio;6;Exterior;Este;1966;Sí;No;Sí;Sí;Sí;No;No;Sí;No;Sí;Individual;40,42315928;-3,718206567;28008;ezjmgq;Madrid
6;https://www.idealista.com/inmueble/106815733/;Piso en venta en Almagro;Chamberi;Chamberí, Madrid;1350000;109;2 hab.;2;"Características básicas


109 m_ construidos
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado


Edificio


Planta 8ª exterior
Con ascensor




Certificado energético



En trámite";"Ubicación


Barrio Almagro


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Almagro, Chamberí, Madrid;Piso;109;2;2;Segunda mano/buen estado;Edificio;8;Exterior;No especificado;No especificado;Sí;No;No;No;Sí;No;No;No especificado;No;No especificado;No especificado;40,4336632;-3,6942857;28010;ezjq5b;Madrid
7;https://www.idealista.com/inmueble/107423130/;Piso en venta en Arapiles;Chamberi;Chamberí, Madrid;316908;91;2 hab.;2;"Características básicas


91 m_ construidos, 76 m_ útiles
2 habitaciones
1 baño
Segunda mano/para reformar
Orientación sur
Construido en 1969
Calefacción individual: Gas natural


Edificio


Planta 2ª exterior
Con ascensor




Certificado energético



En trámite";"Ubicación


Barrio Arapiles


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Arapiles, Chamberí, Madrid;Piso;76;1;2;Segunda mano/para reformar;Edificio;2;Exterior;Sur;1969;Sí;No;No especificado;No especificado;No especificado;No especificado;No;No especificado;No;No;Gas natural;40,4347638;-3,7083155;28015;ezjq58;Madrid
8;https://www.idealista.com/inmueble/106748191/;Piso en venta en plaza de Olavide;Chamberi;Trafalgar, Madrid;1250000;130;2 hab.;2;"Características básicas


130 m_ construidos
2 habitaciones
2 baños
Balcón
Segunda mano/para reformar
Orientación norte, oeste
Calefacción individual: Gas natural


Edificio


Planta 2ª exterior
Con ascensor




Certificado energético



Consumo: 



Emisiones: 



Ver etiqueta de calificación energética
Ocultar etiqueta";"Ubicación


Plaza de Olavide


Barrio Trafalgar


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Plaza de Olavide, Madrid;Piso;130;2;2;Segunda mano/para reformar;Edificio;2;Exterior;Norte, Oeste;No especificado;Sí;No;No;No;No;Sí;No;No especificado;No;No;Gas natural;40,43277095;-3,701034132;28010;ezjq5b;Madrid
9;https://www.idealista.com/inmueble/104694997/;Piso en venta en Almagro;Chamberi;Chamberí, Madrid;475000;58;1 hab.;1;"Características básicas


58 m_ construidos
1 habitación
1 baño
Segunda mano/buen estado
Calefacción individual: Gas natural


Edificio


Semi-sótano interior
Con ascensor




Certificado energético



En trámite";"Ubicación


Barrio Almagro


Distrito Chamberí


Madrid


Madrid capital, Madrid";Piso;Almagro, Madrid;Piso;58;1;1;Segunda mano/buen estado;Edificio;Semi-sótano;Interior;No especificado;No especificado;Sí;No;No;No;No;No;No;No especificado;No;No;Gas natural;40,4336632;-3,6942857;28010;ezjq5b;Madrid
10;https://www.idealista.com/inmueble/106473093/;Dúplex en venta en Almagro;Chamberi;Chamberí, Madrid;800000;67;2 hab.;2;"Características básicas


67 m_ construidos
2 habitaciones
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación este
Construido en 1900
Calefacción individual: Gas natural


Edificio


Planta 2ª exterior
Con ascensor




Equipamiento



Aire acondicionado



Certificado energético



No indicado";"Ubicación


Barrio Almagro


Distrito Chamberí


Madrid


Madrid capital, Madrid";Dúplex;Calle Almagro, Madrid;Dúplex;67;1;2;Segunda mano/buen estado;Edificio;2;Exterior;Este;1900;Sí;No;No;No;Sí;No;No;Sí;No;Sí;Gas natural;40,42315928;-3,718206567;28008;ezjmgq;Madrid
