id;precio;metros_cuadrados_utiles;numero_baNos;numero_habitaciones;planta;antigUedad;aire_acondicionado_Si;ascensor_Si;piscina_Si;trastero_Si;garaje_Si;balcon_Si;jardin_Si;armarios_Si;poblacion_km2;renta_media_hogar;distancia_centro_Madrid_m;pois_comunitarios;pois_BigBusiness
1981;369683;105;2;3;2;0;False;True;True;True;True;False;False;True;1641;41547;28805;0;0
11822;190260;63;1;2;4;42;True;False;False;False;False;False;False;False;7000;32647;8739;0;0
11825;469000;155;2;4;1;42;False;False;False;False;False;False;False;False;7000;32647;8739;0;0
13512;2250000;339;4;4;0;5;True;True;True;True;True;True;False;True;1420;76706;9712;0;0
14247;480000;210;4;4;0;23;True;False;False;True;True;True;True;True;239;40741;23932;0;0
14325;525000;390;4;5;3;18;True;False;True;True;True;True;True;True;38;33157;46437;0;0
18130;399000;231;3;4;2;20;False;False;False;True;True;False;True;True;184;27923;25135;0;0
15534;1150000;234;4;4;1;65;True;False;True;True;True;False;True;True;18;17927;67928;4;0
15692;3500000;390;3;3;0;65;False;False;False;False;True;False;True;False;18;17927;67928;4;0
18591;50000;80;1;2;0;85;False;False;False;False;False;False;False;False;18;17927;67834;4;0
19202;75000;145;2;4;0;45;False;False;False;False;False;False;False;False;18;17927;67746;4;0
19285;54900;87;1;3;0;65;False;False;False;False;False;False;False;False;18;17927;67954;0;0
17460;150000;130;1;3;1;30;False;False;False;False;False;False;False;False;12;18836;54523;1;0
17549;115000;145;1;2;0;36;False;False;True;True;True;False;True;False;12;18836;54386;4;0
17616;149000;170;4;7;0;46;False;False;False;True;False;False;False;False;12;18836;54423;4;0
17705;283500;226;3;3;0;36;False;False;False;False;False;False;True;False;12;18836;54156;4;0
17754;160000;230;2;5;0;30;True;False;False;True;True;True;False;True;12;18836;54565;1;0
17777;150000;100;1;4;1;30;False;False;False;False;False;False;True;False;12;18836;55877;0;0
17930;155400;247;2;3;0;36;False;False;False;False;False;False;False;False;12;18836;54100;4;0
18609;115000;61;1;2;2;22;False;True;True;True;True;True;False;True;376;19231;65419;0;0
18550;270000;150;2;7;0;13;False;False;False;False;False;True;True;True;376;19597;65482;0;0
18684;115000;50;1;2;0;47;False;False;False;False;False;False;False;False;18;19597;65758;0;0
12067;118000;59;1;1;4;56;True;True;False;False;False;False;False;True;6160;19631;8137;8;0
12092;174000;49;1;3;2;56;False;False;False;False;False;False;False;False;6160;19631;8098;8;0
