id;latitud;longitud;distancia_metros_sol
1;40,43276288;-3,701040333;1771,62
2;40,4388709;-3,6934291;2583,67
3;40,44707075;-3,703195999;3350,18
4;40,4336632;-3,6942857;2016,98
5;40,42315928;-3,718206567;1422,21
6;40,4336632;-3,6942857;2016,98
7;40,4347638;-3,7083155;2022,67
8;40,43277095;-3,701034132;1772,57
9;40,4336632;-3,6942857;2016,98
10;40,42315928;-3,718206567;1422,21
11;40,43296355;-3,691283008;2060,85
12;40,4349358;-3,7147092;2213,43
13;40,43852501;-3,701437129;2406,31
14;40,4336632;-3,6942857;2016,98
15;40,43630188;-3,711186847;2248,22
16;40,42315928;-3,718206567;1422,21
17;40,43243409;-3,693364755;1925,28
18;40,42315928;-3,718206567;1422,21
19;40,43050399;-3,690767176;1854,71
20;40,4336632;-3,6942857;2016,98
21;40,42640189;-3,69331608;1361,24
22;40,42883904;-3,69283545;1602,63
23;40,4288171;-3,6920625;1638,49
24;40,4330613;-3,7010182;1804,79
25;40,43175953;-3,712333175;1808,42
26;40,4336632;-3,6942857;2016,98
27;40,4336632;-3,6942857;2016,98
28;40,43050399;-3,690767176;1854,71
29;40,43945381;-3,696142952;2579,89
30;40,4331414;-3,6981508;1857,73
31;40,4330613;-3,7010182;1804,79
32;40,42315928;-3,718206567;1422,21
33;40,4336632;-3,6942857;2016,98
34;40,4327091;-3,696121397;1861,74
35;40,42981171;-3,623382805;6933,22
36;40,4431893;-3,7108233;2983,14
37;40,4359994;-3,7052328;2123,91
38;40,42315928;-3,718206567;1422,21
39;40,4336632;-3,6942857;2016,98
40;40,4336632;-3,6942857;2016,98
41;40,4288171;-3,6920625;1638,49
42;40,4349358;-3,7147092;2213,43
43;40,42315928;-3,718206567;1422,21
44;40,43276288;-3,701040333;1771,62
45;40,44623324;-3,693511674;3365,38
46;40,43309965;-3,715950006;2081,81
47;40,4336632;-3,6942857;2016,98
48;40,4364524;-3,6963197;2253,44
49;40,42315928;-3,718206567;1422,21
50;40,4351123;-3,705672239;2028,51
51;40,42941469;-3,69866161;1446,59
52;40,4305398;-3,7056806;1522,88
53;40,4336632;-3,6942857;2016,98
54;40,4376551;-3,713123775;2442,23
55;40,43666974;-3,696328664;2276,51
56;40,43649952;-3,700937885;2185,59
57;40,43666974;-3,696328664;2276,51
58;40,43243409;-3,693364755;1925,28
59;40,44660365;-3,692189199;3434,82
60;40,4461072;-3,6909899;3412,04
61;40,42315928;-3,718206567;1422,21
62;40,4336632;-3,6942857;2016,98
63;40,43538515;-3,713144204;2206,44
64;40,44623324;-3,693511674;3365,38
65;40,44600117;-3,713494044;3339,5
66;40,43665205;-3,696417971;2272,6
67;40,43542954;-3,714333004;2250,04
68;40,43277095;-3,701034132;1772,57
69;40,44660365;-3,692189199;3434,82
70;40,42315928;-3,718206567;1422,21
71;40,43304104;-3,699581983;1820,87
72;40,4336632;-3,6942857;2016,98
73;40,4334731;-3,69213965;2075,37
74;40,4336632;-3,6942857;2016,98
75;40,42315928;-3,718206567;1422,21
76;40,4368575;-3,701605;2220,35
77;40,4368575;-3,701605;2220,35
78;40,4368575;-3,701605;2220,35
79;40,4347638;-3,7083155;2022,67
80;40,4389621;-3,705302;2453,04
81;40,4334359;-3,7024953;1836
82;40,4336632;-3,6942857;2016,98
83;40,43168103;-3,702101257;1643,22
84;40,43624068;-3,710118446;2217,22
85;40,4375959;-3,7104879;2370,95
86;40,4336632;-3,6942857;2016,98
87;40,43485649;-3,703643221;1991,92
88;40,43276288;-3,701040333;1771,62
89;40,4293019;-3,7031526;1374,62
90;40,42315928;-3,718206567;1422,21
91;40,4331314;-3,6969593;1883,9
92;40,42315928;-3,718206567;1422,21
93;40,43484947;-3,715516139;2234,94
94;40,4445857;-3,703224921;3073,84
95;40,4368575;-3,701605;2220,35
96;40,4349358;-3,7147092;2213,43
97;40,43276288;-3,701040333;1771,62
98;40,42315928;-3,718206567;1422,21
99;40,43907795;-3,715083375;2648,65
100;40,4280227;-3,6955996;1402,8
101;40,4330613;-3,7010182;1804,79
102;40,4337331;-3,690383242;2173,23
103;40,4302235;-3,6964522;1593,46
104;40,42315928;-3,718206567;1422,21
105;40,4330613;-3,7010182;1804,79
106;40,42315928;-3,718206567;1422,21
107;40,4347638;-3,7083155;2022,67
108;40,42315928;-3,718206567;1422,21
109;40,4292388;-3,70393449;1367,68
110;40,44300322;-3,698522239;2928,54
111;40,42971685;-3,69906178;1469,77
112;40,42315928;-3,718206567;1422,21
113;40,4347638;-3,7083155;2022,67
114;40,4461072;-3,6909899;3412,04
115;40,4292388;-3,70393449;1367,68
116;40,4268284;-3,6937173;1377,48
117;40,42935418;-3,700595374;1402,16
118;40,42315928;-3,718206567;1422,21
119;40,4310262;-3,701144988;1578,89
120;40,4347638;-3,7083155;2022,67
121;40,4431893;-3,7108233;2983,14
122;40,43551899;-3,716623365;2344,36
123;40,4336632;-3,6942857;2016,98
124;40,4336632;-3,6942857;2016,98
125;40,43070484;-3,69480057;1699,11
126;40,42315928;-3,718206567;1422,21
127;40,4339302;-3,694919284;2024,47
128;40,4339302;-3,694919284;2024,47
129;40,42315928;-3,718206567;1422,21
130;40,46249107;-3,682314368;5373,39
131;40,44024116;-3,701005923;2599,4
132;40,4326248;-3,708794589;1799,91
133;40,4327091;-3,696121397;1861,74
134;40,42315928;-3,718206567;1422,21
135;40,44041345;-3,6966524;2673,83
136;40,4336632;-3,6942857;2016,98
137;40,43542954;-3,714333004;2250,04
138;40,4310262;-3,701144988;1578,89
139;40,43276288;-3,701040333;1771,62
140;40,42315928;-3,718206567;1422,21
141;40,4336632;-3,6942857;2016,98
142;40,439479;-3,7079031;2533,16
143;40,43551899;-3,716623365;2344,36
144;40,43852501;-3,701437129;2406,31
145;40,4292388;-3,70393449;1367,68
146;40,43243409;-3,693364755;1925,28
147;40,4363315;-3,7026306;2157,24
148;40,43243409;-3,693364755;1925,28
149;40,42941469;-3,69866161;1446,59
150;40,44660365;-3,692189199;3434,82
