postal_code;viviendas_en_venta;precio_venta_medio;poblacion_km2_CP;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
28001;502;2289134;23657;176;80016;1856;181;65
28002;227;1366393;25569;161;59363;3971;233;46
28003;217;1228748;24976;155;49180;2869;257;66
28004;494;1080874;31132;127;38107;908;227;27
28005;209;529162;28469;87;35720;1233;296;11
28006;659;1869379;22741;161;72271;2637;239;88
28007;124;708675;29733;113;48219;2853;162;12
28008;223;1528610;13877;203;47178;1769;176;9
28009;532;1483427;18554;143;55819;2473;211;31
28010;222;1778232;29891;165;55995;1925;399;141
28011;104;358432;3975;98;28540;2976;113;3
28012;231;675293;38855;106;32217;710;266;26
28013;295;1059467;12618;150;35945;481;228;37
28014;163;1292721;12958;125;46924;891;217;43
28015;188;956007;38786;129;43801;1896;215;15
28016;116;1418842;16025;172;70151;5244;146;23
28017;145;303517;21604;72;29453;5170;190;6
28018;132;239517;24192;92;23340;5412;155;0
28019;164;307063;26125;84;26997;3250;165;0
28020;141;781028;32955;132;39789;4216;204;65
28021;270;405307;6160;92;24855;8147;137;0
28022;147;586748;6405;116;42080;9716;102;0
28023;216;1673747;2026;349;82359;9316;89;10
28024;49;330424;4655;87;36237;7124;63;0
28025;173;249689;25266;79;26424;4891;166;0
28026;110;261620;22020;78;26285;3744;121;0
28027;210;612265;16851;120;44895;5608;226;36
28028;203;1010848;26207;130;47018;3526;226;37
28029;132;427108;23151;80;35920;6176;187;16
28030;95;329673;13995;101;32146;5228;156;0
28031;151;297713;5075;93;27650;8413;104;5
28032;87;396301;7000;111;31875;8285;88;0
28033;123;842068;14067;153;45920;7523;144;21
28034;58;653638;9576;130;50278;8305;123;6
28035;209;1213950;5790;262;59137;6869;145;3
28036;103;1635786;11695;209;76947;5025;167;43
28037;139;380024;15757;95;28369;7073;117;11
28038;94;222972;24258;71;25969;4599;169;0
28039;189;452289;29554;92;32350;4578;213;15
28040;32;1203375;1123;242;54949;3767;121;0
28041;113;259222;12992;85;26939;5687;150;0
28042;120;718230;1376;166;58910;10456;91;3
28043;194;1268595;10766;226;64905;6724;205;26
28044;81;302363;15322;79;27798;6782;90;0
28045;151;513466;17982;93;36753;2635;152;4
28046;277;1976629;8567;222;51763;5533;254;142
28047;115;284534;19021;85;29875;4665;155;0
28048;17;805059;23;257;41108;13536;10;0
28049;32;873569;421;171;52246;11327;32;0
28050;95;678136;6997;124;54174;9640;53;16
28051;100;644107;986;110;32447;10461;17;0
28052;88;431323;166;116;37530;12657;2;0
28053;113;207255;9316;72;22800;4461;152;0
28054;31;419832;3225;103;32117;7332;51;0
28055;62;1150356;1478;211;69772;10819;15;12
28100;52;527977;7535;113;41041;15024;169;0
28108;59;1578581;256;295;71253;14087;51;34
28109;127;1621047;2068;255;86291;12900;41;24
28110;31;546371;588;273;43896;26026;33;0
28120;38;1404553;377;473;83230;26299;6;0
28130;17;405082;162;211;38358;31601;7;0
28140;51;545927;204;271;32722;29282;15;0
28150;21;465133;132;227;33222;34123;12;0
28160;13;226492;98;130;29067;40015;7;0
28170;2;224500;33;176;27643;43202;2;0
28180;21;277875;112;211;29017;47665;11;0
28189;15;262313;20;148;32290;52290;11;0
28191;1;135000;4;99;31628;71071;3;0
28192;6;350650;27;217;26074;53503;5;0
28194;1;420000;8;511;25153;63953;3;0
28200;64;488288;392;186;33786;41979;53;0
28210;64;621948;116;250;41911;31615;9;0
28211;1;295000;57;129;37675;38122;0;0
28212;11;384818;41;201;25689;36193;7;0
28213;10;457750;35;163;28847;41326;6;0
28214;7;271000;56;147;24610;40261;5;0
28219;5;529780;84;291;39163;38310;3;0
28220;39;744228;6080;143;44166;15665;58;0
28221;43;1120379;3514;317;77792;14159;31;0
28222;32;1055253;609;330;58771;17393;14;3
28223;183;1844381;1420;372;80817;9200;102;19
28224;98;1578471;3843;367;70183;9100;95;0
28229;39;562616;514;168;46632;23450;31;0
28231;46;923954;3215;206;58534;16209;53;0
28232;93;1062609;1360;319;71655;20898;49;0
28240;17;832235;151;288;38604;28680;11;0
28248;3;646333;556;228;58238;29009;1;0
28250;90;1097413;1052;373;69462;26493;38;0
28260;42;562662;601;216;35802;31132;25;0
28270;20;468265;293;198;38215;30581;20;0
28280;35;341867;311;118;31650;40680;22;0
28290;78;1226563;1098;417;66296;22087;36;0
