geohash_6;viviendas_en_venta;precio_venta_medio;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
ezjw6z;1;369683;105;41547;28805;0;0
ezjmyj;2;329630;109;32647;8739;0;0
ezjmc5;1;2250000;339;76706;9712;0;0
ezjw93;1;480000;210;40741;23932;0;0
ezm2mb;1;525000;390;33157;46437;0;0
ezjkwp;1;399000;231;27923;25135;0;0
ezhv3f;4;1193750;212;17927;67859;4;0
ezhv3c;1;54900;87;17927;67954;0;0
ezjuc7;2;155000;180;18836;54544;1;0
ezjuc5;4;175725;197;18836;54266;4;0
ezjucs;1;150000;100;18836;55877;0;0
ezhv66;1;115000;61;19231;65419;0;0
ezhv67;2;192500;100;19597;65620;0;0
ezjms0;6;173817;62;19631;8096;8;0
ezjmz0;5;289560;78;19674;13178;0;0
ezjmy8;6;375833;129;19674;11482;0;0
ezjmwr;5;379000;64;19674;10122;0;0
ezjmy0;3;312914;82;19674;9894;0;0
ezjmwq;5;414800;86;19674;10860;0;0
ezjmyb;3;331667;78;19674;11831;0;0
ezjmy3;1;254800;71;19674;9843;2;0
ezhv43;11;117536;151;19702;66993;7;0
ezhv6b;30;228940;133;20619;64046;11;0
ezhv70;3;160000;160;20619;63388;2;0
ezhv6c;2;92500;102;20619;63783;1;0
ezhv6d;4;199250;166;20619;64991;0;0
ezhv68;1;120000;75;20619;64938;1;0
ezhv6e;3;170333;132;20619;65043;0;0
ezjmvx;56;368377;102;20642;7262;16;0
ezhyqn;6;212333;197;20996;51296;2;0
ezhyqq;2;198000;155;20996;51108;0;0
ezhyqp;4;168700;169;20996;51390;2;0
ezhyqr;2;253500;216;20996;51126;0;0
ezjmst;4;195975;82;21080;6156;11;0
ezjmsm;3;207000;94;21128;5540;5;0
ezjmu2;14;179571;61;21258;4275;9;0
ezhvt7;23;269074;239;21358;53729;5;0
ezhvtd;3;224333;179;21358;52918;0;0
ezhvte;4;213000;165;21358;52916;1;0
ezhvt4;1;140000;90;21358;54619;0;0
ezhvtk;1;63000;60;21358;54094;0;0
ezhvt5;1;1445000;227;21389;54336;1;0
ezjmwp;3;440000;144;21438;9974;0;0
ezjmkp;17;152582;66;21522;8540;6;0
ezjmsv;1;194500;73;21586;6395;3;0
ezhvef;1;65000;49;21667;59454;0;0
ezjtre;2;99000;103;21722;45548;0;0
ezjtrt;2;380000;492;21722;45262;4;0
ezjm4d;1;730000;185;21725;16894;0;0
ezhvee;2;107500;81;21808;60158;0;0
ezju0p;16;152481;174;21953;56800;5;0
ezju0n;3;134667;111;21953;57139;3;0
ezjspy;1;179000;286;21953;56878;0;0
ezjmsq;3;138767;87;22061;4983;9;0
ezjeyq;5;144600;127;22180;55251;3;0
ezhyy8;1;218000;138;22214;51496;0;0
ezjmsw;14;229643;84;22306;5475;15;0
ezjm36;1;160000;90;22318;14746;0;0
ezhyy2;47;1077085;129;22330;52078;0;0
ezhyz1;3;253333;83;22330;49320;0;0
ezhyyb;5;823800;392;22330;50581;0;0
ezhyyv;1;95000;134;22330;51292;1;0
ezhywz;2;182500;58;22330;50120;0;0
ezhyzn;3;175000;219;22330;50937;1;0
ezjs0u;1;150000;250;22480;39612;0;0
ezjtn2;13;171492;134;22610;43406;12;0
ezjtn0;2;262000;200;22610;43038;0;0
ezjtn3;3;185000;134;22610;43214;0;0
ezjs4v;22;286672;278;22620;43560;9;0
ezju97;10;123500;188;22639;56928;4;0
ezju95;1;265000;236;22639;56563;2;0
ezju35;2;130000;175;22639;58933;0;0
ezju96;3;155967;131;22639;56972;0;0
ezjecr;4;319600;198;22709;43724;0;0
ezjs19;3;91067;213;22709;42852;0;0
ezjs12;2;227000;205;22709;43037;0;0
ezjs13;2;230800;297;22709;42737;0;0
ezjecx;4;206500;170;22709;43634;0;0
ezjs18;1;266000;220;22709;43585;0;0
