geohash_6;viviendas_en_venta;precio_venta_medio;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
ezjmyj;2;329630;109;32647;8739;0;0
ezjms0;6;173817;62;19631;8096;8;0
ezjmz0;5;289560;78;19674;13178;0;0
ezjmy8;6;375833;129;19674;11482;0;0
ezjmwr;5;379000;64;19674;10122;0;0
ezjmy0;3;312914;82;19674;9894;0;0
ezjmwq;5;414800;86;19674;10860;0;0
ezjmyb;3;331667;78;19674;11831;0;0
ezjmy3;1;254800;71;19674;9843;2;0
ezjmvx;56;368377;102;20642;7262;16;0
ezjmst;4;195975;82;21080;6156;11;0
ezjmsm;3;207000;94;21128;5540;5;0
ezjmu2;14;179571;61;21258;4275;9;0
ezjmwp;3;440000;144;21438;9974;0;0
ezjmkp;17;152582;66;21522;8540;6;0
ezjmsv;1;194500;73;21586;6395;3;0
ezjmsq;3;138767;87;22061;4983;9;0
ezjmsw;14;229643;84;22306;5475;15;0
ezjmsr;17;194582;68;22839;4640;16;0
ezjmu9;38;218999;74;22934;4152;36;0
ezjmeb;66;217156;75;23045;7940;2;0
ezjmtp;29;342897;148;23059;6415;15;0
ezjmu8;75;208377;75;23102;4806;25;0
ezjme2;17;217765;80;23335;8023;5;0
ezjmex;32;273031;87;23410;3790;25;0
ezjmsx;13;187985;64;23513;4982;16;0
ezjmg4;18;310206;85;23527;3142;4;0
ezjmew;10;243710;93;23618;4384;11;0
ezjmth;1;145000;51;23731;7568;0;0
ezjmsn;12;421267;81;23800;4861;4;0
ezjmub;21;189767;67;23800;5296;21;0
ezjmep;38;226282;71;24040;4388;23;0
ezjms1;30;231750;81;24088;7567;15;0
ezjmtw;34;237891;83;24287;8228;33;0
ezjmv1;12;207058;74;24329;5902;13;0
ezjmsj;12;239158;79;24339;5226;8;0
ezjmsz;8;221000;91;24347;5714;10;0
ezjmev;7;220857;80;24347;5172;13;0
ezjmfc;26;274931;89;24446;3982;15;0
ezjmv0;13;274915;80;24479;6201;17;0
ezjme8;41;197941;77;24482;8084;31;0
ezjmer;8;178363;62;24553;4029;12;0
ezjm7z;6;175450;70;24763;8524;0;0
ezjmg8;25;271016;73;24823;3275;16;0
ezjmu3;14;242143;65;24892;3812;7;0
ezjmet;1;129000;80;24927;5165;5;0
ezjmtn;2;392000;62;24955;7150;1;0
ezjmfb;41;248448;80;25002;4383;21;0
ezjmud;36;257208;71;25078;3898;22;0
ezjmv3;3;236000;91;25244;6354;7;0
ezjmec;8;181756;74;25513;7396;16;0
ezjmeu;14;262189;78;25525;5609;15;0
ezjmdt;41;265098;67;25628;6490;18;0
ezjqj2;26;482600;97;25728;6623;15;6
ezjmen;12;256917;83;25776;4860;7;0
ezjmg1;30;294927;92;25812;3431;15;0
ezjm7x;1;346000;115;25939;8911;1;0
ezjmfg;19;286100;77;25989;3551;13;0
ezjmem;3;197967;97;26004;5045;5;0
ezjm7w;5;192000;89;26007;9250;4;0
ezjm7y;2;282000;81;26007;9245;6;0
ezjmuc;5;268600;80;26063;5052;13;0
ezjmff;13;296654;85;26146;3760;7;0
ezjmtx;16;217829;87;26192;8341;10;0
ezjmvg;25;575999;144;26213;8301;14;0
ezjmtq;10;233050;75;26261;7599;9;0
ezjmuy;15;281167;71;26300;4295;12;0
ezjmg3;10;281450;74;26329;2834;14;0
ezjq5z;28;450357;81;26354;5962;16;0
ezjmvr;18;239250;63;26391;6287;14;0
ezjmgh;38;398263;121;26406;2402;17;0
ezjmuv;2;232000;116;26531;3864;5;0
ezjmez;16;324365;79;26846;3934;17;0
ezjmvu;3;204333;61;26885;7734;8;0
ezjmes;11;282436;106;26928;5497;8;0
ezjmg9;28;330643;84;26934;2652;22;0
ezjmtm;3;260000;97;26982;7948;0;0
ezjmv2;2;183400;59;27009;7013;7;0
ezjmtt;16;325666;87;27104;8668;13;0
ezjq7q;1;1350000;141;27104;10571;0;0
ezjmv4;22;260773;71;27126;5512;12;0
ezjmdz;28;281836;83;27190;5007;21;0
ezjmey;11;416726;97;27233;4464;2;0
ezjme9;19;270047;101;27355;7535;13;0
ezjmvp;19;247147;66;27427;5427;11;0
ezjmkr;46;1337828;152;27707;8931;1;0
ezjmy5;6;297342;82;27709;8744;4;0
ezjmuf;8;263938;82;27843;4560;11;0
ezjmvw;9;296322;83;27880;7144;15;0
ezjqjf;21;400057;116;27890;8434;16;0
ezjmef;8;217363;77;27981;6853;14;0
ezjmdn;6;285833;90;28146;7514;9;0
ezjmg2;42;297722;79;28148;3462;19;0
ezjmek;2;200000;92;28152;5675;4;0
ezjmdy;20;236670;73;28193;5506;19;0
ezjmgs;120;539295;89;28197;792;54;4
ezjme3;1;147500;58;28201;7774;3;0
